Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,0,0.25,0.7243589743589743,0.865979381443299,0.7368421052631579,0.7962085308056871,0.7560568086883876,0.6680340911261737
dcgan,0,0.5,0.6858974358974359,0.891566265060241,0.6491228070175439,0.751269035532995,0.8078529657477026,0.7902181609533727
dcgan,0,0.75,0.7628205128205128,0.8290598290598291,0.8508771929824561,0.8398268398268399,0.7840434419381787,0.905659771990031
dcgan,0,1.0,0.7756410256410257,0.816,0.8947368421052632,0.8535564853556485,0.8026315789473685,1.0256115240044892
dcgan,0,1.5,0.7628205128205128,0.8666666666666667,0.7982456140350878,0.8310502283105023,0.8153717627401839,1.2592207328416407
cgan,0,0.25,0.6923076923076923,0.8837209302325582,0.6666666666666666,0.7599999999999999,0.8013784461152882,0.6223607831634581
cgan,0,0.5,0.6987179487179487,0.8764044943820225,0.6842105263157895,0.768472906403941,0.8005430242272348,0.7865109369158745
cgan,0,0.75,0.717948717948718,0.782258064516129,0.8508771929824561,0.815126050420168,0.720969089390142,0.8582524182274938
cgan,0,1.0,0.6282051282051282,0.8111111111111111,0.6403508771929824,0.7156862745098039,0.7136591478696742,0.9854687671177089
cgan,0,1.5,0.7692307692307693,0.8145161290322581,0.8859649122807017,0.8487394957983193,0.7531328320802007,1.2295979321934283
wgan,0,0.25,0.5897435897435898,0.9166666666666666,0.4824561403508772,0.6321839080459769,0.7794486215538847,0.6244769589975476
wgan,0,0.5,0.7756410256410257,0.8495575221238938,0.8421052631578947,0.8458149779735682,0.7894736842105264,0.7586846081539989
wgan,0,0.75,0.8012820512820513,0.8807339449541285,0.8421052631578947,0.8609865470852017,0.8166248955722639,0.8795207752846181
wgan,0,1.0,0.7884615384615384,0.813953488372093,0.9210526315789473,0.8641975308641974,0.7556390977443609,1.0084688737988472
wgan,0,1.5,0.8397435897435898,0.8617886178861789,0.9298245614035088,0.8945147679324894,0.8462823725981622,1.238714047241956
