Accuracy,Precision,Recall,F1,AUC,TrainTime,Model,Run,Ratio,PreserveOriginal
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7080200501253133,0.5985368033871055,patchqgan,0,0.25,True
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.7284878863826232,0.7139952941797674,patchqgan,0,0.5,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5603592314118631,0.8298191907815635,patchqgan,0,0.75,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6938178780284044,0.9532618462108076,patchqgan,0,1.0,True
0.7756410256410257,0.8062015503875969,0.9122807017543859,0.8559670781893004,0.699874686716792,1.1851318189874291,patchqgan,0,1.5,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6781537176274018,0.6457942663691938,mosaiq,0,0.25,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.760233918128655,0.7420896049588919,mosaiq,0,0.5,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7355889724310777,0.8644822211936116,mosaiq,0,0.75,True
0.7756410256410257,0.7801418439716312,0.9649122807017544,0.8627450980392157,0.7518796992481203,0.9547576098702848,mosaiq,0,1.0,True
0.7564102564102564,0.75,1.0,0.8571428571428571,0.7807017543859649,1.1354863629676402,mosaiq,0,1.5,True
